first 713, 19/12/2022 18:05:04
last 767, 19/12/2022 18:05:04
first 712, 19/12/2022 18:05:04
last 768, 19/12/2022 18:05:04
first 712, 19/12/2022 18:05:04
last 768, 19/12/2022 18:05:04
first 712, 19/12/2022 18:05:04
last 768, 19/12/2022 18:05:04
first 711, 19/12/2022 18:05:04
last 769, 19/12/2022 18:05:04
first 711, 19/12/2022 18:05:04
last 769, 19/12/2022 18:05:04
first 711, 19/12/2022 18:05:04
last 769, 19/12/2022 18:05:04
first 710, 19/12/2022 18:05:04
last 770, 19/12/2022 18:05:04
cx 740 cy 213, 19/12/2022 18:05:04
 beginning of the function, 19/12/2022 18:05:09
first 732, 19/12/2022 18:05:09
last 748, 19/12/2022 18:05:09
first 729, 19/12/2022 18:05:09
last 751, 19/12/2022 18:05:09
first 726, 19/12/2022 18:05:09
last 754, 19/12/2022 18:05:09
first 725, 19/12/2022 18:05:09
last 755, 19/12/2022 18:05:09
first 723, 19/12/2022 18:05:09
last 757, 19/12/2022 18:05:09
first 722, 19/12/2022 18:05:09
last 758, 19/12/2022 18:05:09
first 720, 19/12/2022 18:05:09
last 760, 19/12/2022 18:05:09
first 719, 19/12/2022 18:05:09
last 761, 19/12/2022 18:05:09
first 718, 19/12/2022 18:05:09
last 762, 19/12/2022 18:05:09
first 717, 19/12/2022 18:05:09
last 763, 19/12/2022 18:05:09
first 716, 19/12/2022 18:05:09
last 764, 19/12/2022 18:05:09
first 716, 19/12/2022 18:05:09
last 764, 19/12/2022 18:05:09
first 715, 19/12/2022 18:05:09
last 765, 19/12/2022 18:05:09
first 714, 19/12/2022 18:05:09
last 766, 19/12/2022 18:05:09
first 714, 19/12/2022 18:05:09
last 766, 19/12/2022 18:05:09
first 713, 19/12/2022 18:05:09
last 767, 19/12/2022 18:05:09
first 712, 19/12/2022 18:05:09
last 768, 19/12/2022 18:05:09
first 712, 19/12/2022 18:05:09
last 768, 19/12/2022 18:05:09
first 712, 19/12/2022 18:05:09
last 768, 19/12/2022 18:05:09
first 711, 19/12/2022 18:05:09
last 769, 19/12/2022 18:05:09
first 711, 19/12/2022 18:05:09
last 769, 19/12/2022 18:05:09
first 711, 19/12/2022 18:05:09
last 769, 19/12/2022 18:05:09
first 710, 19/12/2022 18:05:09
last 770, 19/12/2022 18:05:09
cx 740 cy 213, 19/12/2022 18:05:09
 beginning of the function, 19/12/2022 18:05:14
first 732, 19/12/2022 18:05:14
last 748, 19/12/2022 18:05:14
first 729, 19/12/2022 18:05:14
last 751, 19/12/2022 18:05:14
first 726, 19/12/2022 18:05:14
last 754, 19/12/2022 18:05:14
first 725, 19/12/2022 18:05:14
last 755, 19/12/2022 18:05:14
first 723, 19/12/2022 18:05:14
last 757, 19/12/2022 18:05:14
first 722, 19/12/2022 18:05:14
last 758, 19/12/2022 18:05:14
first 720, 19/12/2022 18:05:14
last 760, 19/12/2022 18:05:14
first 719, 19/12/2022 18:05:14
last 761, 19/12/2022 18:05:14
first 718, 19/12/2022 18:05:14
last 762, 19/12/2022 18:05:14
first 717, 19/12/2022 18:05:14
last 763, 19/12/2022 18:05:14
first 716, 19/12/2022 18:05:14
last 764, 19/12/2022 18:05:14
first 716, 19/12/2022 18:05:14
last 764, 19/12/2022 18:05:14
first 715, 19/12/2022 18:05:14
last 765, 19/12/2022 18:05:14
first 714, 19/12/2022 18:05:14
last 766, 19/12/2022 18:05:14
first 714, 19/12/2022 18:05:14
last 766, 19/12/2022 18:05:14
first 713, 19/12/2022 18:05:14
last 767, 19/12/2022 18:05:14
first 712, 19/12/2022 18:05:14
last 768, 19/12/2022 18:05:14
first 712, 19/12/2022 18:05:14
last 768, 19/12/2022 18:05:14
first 712, 19/12/2022 18:05:14
last 768, 19/12/2022 18:05:14
first 711, 19/12/2022 18:05:14
last 769, 19/12/2022 18:05:14
first 711, 19/12/2022 18:05:14
last 769, 19/12/2022 18:05:14
first 711, 19/12/2022 18:05:14
last 769, 19/12/2022 18:05:14
first 710, 19/12/2022 18:05:14
last 770, 19/12/2022 18:05:14
cx 740 cy 193, 19/12/2022 18:05:14
 beginning of the function, 19/12/2022 18:05:19
first 732, 19/12/2022 18:05:19
last 748, 19/12/2022 18:05:19
first 729, 19/12/2022 18:05:19
last 751, 19/12/2022 18:05:19
first 726, 19/12/2022 18:05:19
last 754, 19/12/2022 18:05:19
first 725, 19/12/2022 18:05:19
last 755, 19/12/2022 18:05:19
first 723, 19/12/2022 18:05:19
last 757, 19/12/2022 18:05:19
first 722, 19/12/2022 18:05:19
last 758, 19/12/2022 18:05:19
first 720, 19/12/2022 18:05:19
last 760, 19/12/2022 18:05:19
first 719, 19/12/2022 18:05:19
last 761, 19/12/2022 18:05:19
first 718, 19/12/2022 18:05:19
last 762, 19/12/2022 18:05:19
first 717, 19/12/2022 18:05:19
last 763, 19/12/2022 18:05:19
first 716, 19/12/2022 18:05:19
last 764, 19/12/2022 18:05:19
first 716, 19/12/2022 18:05:19
